,Property_Name,Location,Region,Property_Age,Availability,Area_Tpye,Area_SqFt,Rate_SqFt,Floor_No,Bedroom,Bathroom,Price_Lakh
2107,Anchorage Apartment ,Bandra West Mumbai South West Mumbai,South Mumbai,10+ Year,Ready To Move,Carpet Area,641,53198,6,2,2,341
2108,Unnamed Property,Bandra West Mumbai South West Mumbai,South Mumbai,10+ Year,Ready To Move,Carpet Area,1248,54086,3,3,3,675
2109,SD Epsilon Tower ,Thakur Village Mumbai,Thakur Village,0 to 1 Year,Ready To Move,Carpet Area,1047,28175,14,3,3,295
2110,SD Epsilon Tower ,Thakur Village Mumbai,Thakur Village,0 to 1 Year,Ready To Move,Carpet Area,93,344569,19,3,3,322
2111,SD Epsilon Tower ,Thakur Village Mumbai,Thakur Village,0 to 1 Year,Ready To Move,Carpet Area,763,29488,37,2,2,225
2112,Unnamed Property,C121 Bhiwandi Mumbai Beyond Thane Mumbai,Bhiwandi,0 to 1 Year,Ready To Move,Built Up Area,1080,7785,21,2,2,55
2113,SD Alpine ,Kandivali East Mumbai,Kandivali Mumbai,1 to 5 Year,Ready To Move,Carpet Area,1037,31340,44,3,3,325
2114,Tata Amantra ,G0256 Kalyan West Mumbai Beyond Thane Mumbai,Kalyan Thane,0 to 1 Year,Ready To Move,Built Up Area,1530,5773,21,3,3,88
2115,Tata Amantra ,F 2156 Kalyan West Mumbai Beyond Thane Mumbai,Kalyan Thane,0 to 1 Year,Ready To Move,Built Up Area,1476,5849,22,3,2,86
2116,Sahakar Premier ,301 Mira Road East Mira Road And Beyond Mumbai,Mira Road,0 to 1 Year,Ready To Move,Super Built Up Area,1070,7444,3,2,2,79
2117,Strawberry ONYX ,101 Mira Road East Mira Road And Beyond Mumbai,Mira Road,0 to 1 Year,Ready To Move,Super Built Up Area,1015,8137,1,2,2,82
2118,Lodha Casa Ultima ,004 Chirak Nagar Thane Mumbai,Thane,5 to 10 Year,Ready To Move,Super Built Up Area,622,14112,20,1,1,87
2119,Puranik City Phase 3 ,000 Kasar vadavali Thane Mumbai,Kasar Vadavali Thane,1 to 5 Year,Ready To Move,Carpet Area,450,13333,8,1,2,60
2120,Unnamed Property,Balkum Thane Mumbai,Balkum Thane,0 to 1 Year,Ready To Move,Carpet Area,904,20464,20,2,2,185
2121,Laabh Pehla Ghar Shubh Sanket Complex ,000 Ghodbunder Road Thane Mumbai,Thane,0 to 1 Year,Ready To Move,Carpet Area,411,10462,1,1,1,43
2122,Unnamed Property,Balkum Thane Mumbai,Balkum Thane,0 to 1 Year,Ready To Move,Carpet Area,1000,19000,16,2,2,190
2123,Rutu Enclave ,000 Anand Nagar Thane Mumbai,Thane,5 to 10 Year,Ready To Move,Carpet Area,411,11192,3,1,1,46
2124,Cosmos Jewels ,000 Anand Nagar Thane Mumbai,Thane,1 to 5 Year,Ready To Move,Carpet Area,700,13142,8,2,2,92
2125,Unnamed Property,701 Naupada Thane Mumbai,Naupada Thane,0 to 1 Year,Ready To Move,Super Built Up Area,1250,13600,7,2,2,170
2126,Dharti Ashtavinayak Tower ,604 Sector 21 Kamothe Navi Mumbai Mumbai,Kamothe Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1310,6641,6,2,2,87
2127,Unnamed Property,000 Kasar vadavali Thane Mumbai,Kasar Vadavali Thane,1 to 5 Year,Ready To Move,Carpet Area,450,11777,4,1,2,53
2128,Unique Greens ,000 kavesar Thane Mumbai,Kavesar Thane,1 to 5 Year,Ready To Move,Carpet Area,500,12600,12,1,2,63
2129,Unnamed Property,000 Thane West Thane Mumbai,Thane,1 to 5 Year,Ready To Move,Carpet Area,430,12790,15,1,2,55
2130,Unnamed Property,000 Thane West Thane Mumbai,Thane,1 to 5 Year,Ready To Move,Carpet Area,425,12705,5,1,2,54
2131,Puraniks Hometown ,000 Kasar vadavali Thane Mumbai,Kasar Vadavali Thane,1 to 5 Year,Ready To Move,Carpet Area,480,11250,2,1,1,54
2132,Shree Sankalp ,000 Kasar vadavali Thane Mumbai,Kasar Vadavali Thane,1 to 5 Year,Ready To Move,Carpet Area,650,14153,6,2,2,92
2133,Neelkanth Gardens ,Neelkanth Gardens Chs Ltd Opp Jain Temple Govandi East Mumbai 400088 Chembur East Mumbai Harbour Mumbai,Mumbai Harbour,10+ Year,Ready To Move,Super Built Up Area,1000,25500,3,2,2,255
2134,Vijaya Heritage ,Vijaya Heritage Road No 11 Central Avenue Road Central Avenue Road Chembur East Mumbai Chembur Mumbai Harbour Mumbai,Mumbai Harbour,5 to 10 Year,Ready To Move,Super Built Up Area,1450,26551,9,3,3,385
2135,Imperial Heights ,Goregaon West Mumbai,Goregaon Mumbai,1 to 5 Year,Ready To Move,Carpet Area,1445,23529,24,3,4,340
2136,Platinum Emporius ,500 Sector 17 Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,0 to 1 Year,Ready To Move,Carpet Area,38,352388,5,2,2,135
2137,RC Orchid Apartment ,Sector 21 Ghansoli Navi Mumbai Mumbai,Ghansoli Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,700,10285,6,1,1,72
2138,Vihan Sunshine Heights ,Sector 15 Ghansoli Navi Mumbai Mumbai,Ghansoli Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,650,13076,10,1,1,85
2139,Avicon Levante ,800 Sector 17 Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,700,8857,8,1,2,62
2140,Pragati Moral Orchid ,400 Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,705,7801,4,1,2,55
2141,Priyanka Unite ,200 Sector 18 Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1125,10933,2,2,2,123
2142,Unnamed Property,Hiranandani Meadows Thane Mumbai,Thane,1 to 5 Year,Ready To Move,Super Built Up Area,1500,11333,2,2,2,170
2143,Omkar Alta Monte ,Malad East Mumbai,Malad Mumbai,1 to 5 Year,Ready To Move,Carpet Area,920,24456,10,2,2,225
2144,Unnamed Property,Sector 21 Ghansoli Navi Mumbai Mumbai,Ghansoli Navi-Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,677,11078,4,1,1,75
2145,The Park Residences ,Oshiwara Mumbai,Oshiwara Mumbai,0 to 1 Year,Ready To Move,Carpet Area,1115,40358,15,3,3,450
2146,Raheja Acropolis ,Raheja Acropolis Ii Sion Trombay Road Deonar Chembur Mumbai Chembur East Mumbai Harbour Mumbai,Mumbai Harbour,10+ Year,Ready To Move,Super Built Up Area,1250,22000,3,3,2,275
2147,Unnamed Property,Sector 15 Ghansoli Navi Mumbai Mumbai,Ghansoli Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1185,12236,18,2,2,145
2148,RC Orchid Apartment ,Sector 21 Ghansoli Navi Mumbai Mumbai,Ghansoli Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1250,9200,10,3,2,115
2149,RC Orchid Apartment ,Sector 21 Ghansoli Navi Mumbai Mumbai,Ghansoli Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1050,9047,3,2,2,95
2150,City Century One ,Sector 21 Ghansoli Navi Mumbai Mumbai,Ghansoli Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,890,11011,14,2,2,98
2151,Shree Ramtanu Narayan Ellite ,Ghansoli Navi Mumbai Mumbai,Ghansoli Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,680,10588,5,1,1,72
2152,Prabhu Shrine ,604 Sector 22 Kamothe Navi Mumbai Mumbai,Kamothe Navi-Mumbai,1 to 5 Year,Ready To Move,Carpet Area,450,12222,6,1,1,55
2153,Unnamed Property,Taloja Navi Mumbai Mumbai,Taloja Navi-Mumbai,0 to 1 Year,Ready To Move,Carpet Area,430,6976,2,1,2,30
2154,Gami Amar Harmony ,Taloja Panchanand Navi Mumbai Mumbai,Taloja Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,693,5627,14,1,2,39
2155,Paradise Sai Riverdale ,Taloja Panchanand Navi Mumbai Mumbai,Taloja Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1115,7354,19,2,2,82
2156,Paradise Sai Riverdale ,Taloja Panchanand Navi Mumbai Mumbai,Taloja Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,690,7101,12,1,2,49
2157,Unnamed Property,Siddheshwar Garden Kolshet Road Near D Mart Dhokali Thane Mumbai,Thane,1 to 5 Year,Ready To Move,Carpet Area,710,16760,11,2,2,119
2158,Terraform Everest World ,Everest World Kolshet Road Dokali Pada Thane Mumbai,Thane,1 to 5 Year,Ready To Move,Carpet Area,890,15955,12,3,2,142
2159,Unnamed Property,Kalpataru Sunrise Kolshet Road Thane Mumbai,Thane,1 to 5 Year,Ready To Move,Super Built Up Area,1675,21779,8,3,3,235
2160,Lodha Amara ,Lodha Amara Thane W Kolshet Road Thane Mumbai,Thane,0 to 1 Year,Ready To Move,Super Built Up Area,1450,16526,28,3,3,157
2161,Neelsidhi Tower ,Sector 12 Sector 12 Vashi Navi Mumbai Mumbai,Vashi Navi-Mumbai,10+ Year,Ready To Move,Carpet Area,1000,27500,1,3,3,275
2162,Lodha Amara ,Lodha Amara Kolshet Road Thane Mumbai,Thane,0 to 1 Year,Ready To Move,Carpet Area,672,14880,12,2,2,100
2163,Runwal Forests ,Near Mangatram Petrol Pump Kanjurmarg West Kanjur marg west Central Mumbai suburbs Mumbai,Central Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1298,23882,24,3,2,310
2164,Godrej The Trees ,Phirojshanagar Vikhroli East Vikhroli East Central Mumbai suburbs Mumbai,Central Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,2450,44897,17,4,4,1100
2165,Runwal Forests ,Near Mangatram Petrol Pump Kanjurmarg West Kanjur marg west Central Mumbai suburbs Mumbai,Central Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1298,22342,36,3,2,290
2166,Runwal Forests ,Near Mangatram Petrol Pump Kanjurmarg West Kanjur marg west Central Mumbai suburbs Mumbai,Central Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1298,25038,38,3,3,325
2167,Runwal Forests ,Near Mangatram Petrol Pump Kanjurmarg West Kanjur marg west Central Mumbai suburbs Mumbai,Central Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1298,25346,22,3,3,329
2168,Runwal Forests ,Near Mangtram Petrol Pump Kanjur marg west Central Mumbai suburbs Mumbai,Central Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1135,26431,28,3,2,300
2169,Godrej The Trees ,Pirojshanagar vikhroli East Vikhroli East Central Mumbai suburbs Mumbai,Central Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,940,36170,13,2,2,340
2170,Godrej The Trees ,Pirojshanagar Vikhroli East Vikhroli East Central Mumbai suburbs Mumbai,Central Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1120,38839,10,3,2,435
2171,Godrej The Trees ,Pirojshah Nagar vikhroli East Vikhroli East Central Mumbai suburbs Mumbai,Central Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,640,26875,2,1,1,172
2172,Unnamed Property,Kapurbawadi Thane Mumbai,Kapurbawadi Thane,1 to 5 Year,Ready To Move,Built Up Area,740,19189,8,2,2,142
2173,Unnamed Property,Dhokali Thane Mumbai,Thane,1 to 5 Year,Ready To Move,Built Up Area,744,18951,8,2,2,141
2174,Omkar Empire ,Sector 10 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1250,8800,9,2,2,110
2175,Unnamed Property,Kolshet Thane Mumbai,Thane,0 to 1 Year,Ready To Move,Carpet Area,940,17234,25,2,4,162
2176,Unnamed Property,Sector 36 Kamothe Navi Mumbai Mumbai,Kamothe Navi-Mumbai,10+ Year,Ready To Move,Carpet Area,1150,8260,7,2,2,95
2177,Kalpataru Woodsville ,Powai Chandivali Central Mumbai suburbs Mumbai,Central Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1186,20657,1,2,2,245
2178,Kalpataru Woodsville ,Powai Chandivali Central Mumbai suburbs Mumbai,Central Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1905,19947,1,3,3,380
2179,Unnamed Property,Sector 36 Kamothe Navi Mumbai Mumbai,Kamothe Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,690,8260,1,1,1,57
2180,Mhalsa Residency ,Sector 36 Kamothe Navi Mumbai Mumbai,Kamothe Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1335,10112,8,3,2,135
2181,Kanakia Zen World ,Kanjur Marg East Central Mumbai suburbs Mumbai,Central Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,935,26595,2,2,2,200
2182,Mhalsa Residency ,Sector 36 Kamothe Navi Mumbai Mumbai,Kamothe Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1050,8571,12,2,2,90
2183,Dynamic Avenue ,Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,660,6060,4,1,2,40
2184,Rajesh Residency ,Sector 36 Kamothe Navi Mumbai Mumbai,Kamothe Navi-Mumbai,10+ Year,Ready To Move,Super Built Up Area,1075,7441,3,2,2,80
2185,Lodha Luxuria ,Majiwada Thane Mumbai,Majiwada Thane,1 to 5 Year,Ready To Move,Carpet Area,1167,16966,3,3,3,198
2186,Hiranandani Eagleridge ,Hiranandani Estate Thane Mumbai,Hiranandani Thane,0 to 1 Year,Ready To Move,Built Up Area,1062,16195,25,2,2,172
2187,Lodha Luxuria ,Majiwada Thane Mumbai,Majiwada Thane,1 to 5 Year,Ready To Move,Built Up Area,1690,11834,4,3,3,200
2188,Unnamed Property,Anand Nagar Thane Mumbai,Thane,0 to 1 Year,Ready To Move,Built Up Area,876,10844,6,2,2,95
2189,Unnamed Property,Thane West Thane Mumbai,Thane,0 to 1 Year,Ready To Move,Built Up Area,877,8323,5,2,2,73
2190,Unnamed Property,1304 Sector 21 Kamothe Navi Mumbai Mumbai,Kamothe Navi-Mumbai,5 to 10 Year,Ready To Move,Carpet Area,680,16911,14,2,2,115
2191,Hiranandani Castle Rock ,Powai Hiranandani Gardens Powai Central Mumbai suburbs Mumbai,Central Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1230,26422,12,2,2,325
2192,Gurukrupa Aramus Complex ,1100 Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,0 to 1 Year,Ready To Move,Built Up Area,1100,6727,11,1,1,74
2193,Varsha Balaji Darshan ,300 Sector 16 Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1130,9203,3,2,2,104
2194,Kalpataru Sunrise ,1111 Balkum Thane Mumbai,Balkum Thane,0 to 1 Year,Ready To Move,Super Built Up Area,1500,15200,13,3,3,228
2195,Kalpataru Sunrise ,1111 Balkum Thane Mumbai,Balkum Thane,1 to 5 Year,Ready To Move,Super Built Up Area,1500,15000,11,3,3,225
2196,Kalpataru Sunrise ,1111 Balkum Thane Mumbai,Balkum Thane,1 to 5 Year,Ready To Move,Super Built Up Area,1000,9800,22,2,2,98
2197,Kalpataru Sunrise ,1111 Balkum Thane Mumbai,Balkum Thane,1 to 5 Year,Ready To Move,Super Built Up Area,1000,9900,7,2,2,99
2198,Lodha Altia ,Wadala Mumbai Harbour Mumbai,Mumbai Harbour,0 to 1 Year,Ready To Move,Super Built Up Area,1057,37617,29,2,2,240
2199,Atlantis ,1801 Panch Pakhadi Thane Mumbai,Thane,5 to 10 Year,Ready To Move,Super Built Up Area,580,15517,18,1,2,90
2200,SKG Vijayashree ,Chembur Mumbai Harbour Mumbai,Mumbai Harbour,5 to 10 Year,Ready To Move,Super Built Up Area,1775,21126,2,3,3,375
2201,Sabari Ashiana ,Sabari Aashiana Chs Ltd Deonar Form Road Mumbai 400088 Chembur East Mumbai Harbour Mumbai,Mumbai Harbour,10+ Year,Ready To Move,Super Built Up Area,1600,26562,4,3,3,425
2202,Godrej The Trees ,Off Eastern Express Highway Vikhroli East Vikhroli East Central Mumbai suburbs Mumbai,Central Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1398,31473,12,3,2,440
2203,Luxora Crystal Spires ,Manpada Thane Mumbai,Manpada Thane,0 to 1 Year,Ready To Move,Built Up Area,2500,22067,3,3,3,395
2204,Sheth Auris Ilaria ,2609 Malad West Mumbai,Malad Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1006,16820,29,2,2,169
2205,Bhoomi Celestia ,Malad West Malad West Mumbai,Malad Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,2815,24831,20,4,5,699
2206,Bhoomi Celestia ,Malad West Malad West Mumbai,Malad Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,2279,24129,20,3,3,550
2207,Unnamed Property,1111 Sector 21 Kamothe Navi Mumbai Mumbai,Kamothe Navi-Mumbai,5 to 10 Year,Ready To Move,Carpet Area,680,13235,11,2,2,88
2208,SK Imperial Heights ,Mira Road Mira Road Mira Road And Beyond Mumbai,Mira Road,0 to 1 Year,Ready To Move,Super Built Up Area,735,9353,1,1,2,68
2209,Strawberry ONYX ,Mira Road East Mira Road East Mira Road And Beyond Mumbai,Mira Road,0 to 1 Year,Ready To Move,Super Built Up Area,925,8918,1,2,2,82
2210,Unnamed Property,888 Sector 21 Kamothe Navi Mumbai Mumbai,Kamothe Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1070,13274,8,2,2,90
2211,Rajesh Presidency ,Sector 3 Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1600,8750,5,3,3,140
2212,SK Imperial Heights ,Mira Road Mira Road Mira Road And Beyond Mumbai,Mira Road,0 to 1 Year,Ready To Move,Super Built Up Area,1075,9279,2,2,2,100
2213,Hiranandani-Estate Brentford ,302 Ghodbunder Road Thane Mumbai,Thane,10+ Year,Ready To Move,Carpet Area,370,22972,3,1,1,85
2214,Umiya Oasis ,Mira Road Mira Road Mira Road And Beyond Mumbai,Mira Road,0 to 1 Year,Ready To Move,Super Built Up Area,715,9020,15,1,2,64
2215,Sahakar Premier ,Mira Road East Mira Road East Mira Road And Beyond Mumbai,Mira Road,0 to 1 Year,Ready To Move,Super Built Up Area,1075,7674,2,2,2,82
2216,Unnamed Property,Mira Road East Mira Road East Mira Road And Beyond Mumbai,Mira Road,0 to 1 Year,Ready To Move,Super Built Up Area,1085,7695,5,2,2,83
2217,Janki Legacy ,Ramdev Park Ramdev Park Mira Road And Beyond Mumbai,Mira Road,0 to 1 Year,Ready To Move,Super Built Up Area,735,8639,5,1,2,63
2218,RNA NG Silver Spring ,Mira Road East Mira Road East Mira Road And Beyond Mumbai,Mira Road,0 to 1 Year,Ready To Move,Super Built Up Area,1095,8218,5,2,2,90
2219,Shree Tirupati Riviera ,Siddheshwar Garden Kolshet Road Thane West Thane Mumbai,Thane,1 to 5 Year,Ready To Move,Super Built Up Area,1290,14494,7,3,2,129
2220,Kalpataru Sunrise ,Kalpataru Sunrise Kolshet Road Thane Mumbai,Thane,0 to 1 Year,Ready To Move,Carpet Area,765,17516,6,2,2,134
2221,Lodha Amara ,Lodha Amara 2bhk Kolshet Road Thane Mumbai,Thane,0 to 1 Year,Ready To Move,Carpet Area,672,14583,15,2,2,98
2222,Lodha Amara ,Lodha Amara Kolshet Road Thane Mumbai,Thane,0 to 1 Year,Ready To Move,Carpet Area,955,16439,23,3,3,157
2223,Tulsi Aura ,Sector 8 Ghansoli Navi Mumbai Mumbai,Ghansoli Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,635,12598,6,1,2,80
2224,Unnamed Property,Thakur Village Mumbai,Thakur Village,1 to 5 Year,Ready To Move,Carpet Area,1047,31041,20,3,3,325
2225,Kalpataru Sunrise ,Kalpataru Sunrise Kolshet Road Kolshet Road Thane Mumbai,Thane,1 to 5 Year,Ready To Move,Super Built Up Area,1190,17931,8,2,2,137
2226,Kalpataru Sunrise ,Kalpataru Sunrise Kolshet Road Balkum Thane Mumbai,Balkum Thane,0 to 1 Year,Ready To Move,Carpet Area,780,17692,10,2,2,138
2227,Pratik Regalia ,Sector 21 Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,704,6676,6,1,2,47
2228,Kalpataru Sunrise ,Kalpataru Sunrise Balkum Thane Mumbai,Balkum Thane,0 to 1 Year,Ready To Move,Carpet Area,1089,20569,15,3,3,224
2229,Lodha Sterling ,Lodha Sterling Kolshet Road Thane W Thane West Thane Mumbai,Thane,0 to 1 Year,Ready To Move,Super Built Up Area,1350,17647,7,2,2,159
2230,Lodha Amara ,Lodha Amara Kolshet Road Thane Mumbai,Thane,1 to 5 Year,Ready To Move,Super Built Up Area,1020,15476,6,2,2,104
2231,Unnamed Property,Godrej Prime Chs Ltd Shell Colony Chembur East Mumbai 71 Chembur East Mumbai Harbour Mumbai,Mumbai Harbour,1 to 5 Year,Ready To Move,Super Built Up Area,1264,18196,9,2,2,230
2232,Godrej Prime ,Godrej Prime Chs Ltd Shell Colony Chembur East Mumbaik 71 Chembur Mumbai Harbour Mumbai,Mumbai Harbour,1 to 5 Year,Ready To Move,Super Built Up Area,1280,18750,7,3,2,240
2233,Unnamed Property,1002 Chembur Mumbai Harbour Mumbai,Mumbai Harbour,1 to 5 Year,Ready To Move,Super Built Up Area,3385,20679,10,4,4,700
2234,Unnamed Property,1111 Kolshet Road Thane Mumbai,Thane,0 to 1 Year,Ready To Move,Super Built Up Area,900,11000,26,2,2,99
2235,Godrej Central ,Godrej Central Chs Ltd Shell Colony Chembur East Mumbai 71 Chembur East Mumbai Harbour Mumbai,Mumbai Harbour,1 to 5 Year,Ready To Move,Super Built Up Area,1440,17361,6,3,2,250
2236,Godrej Central ,Godrej Central Chs Ltd Shell Colony Chembur East Mumbai 71 Chembur East Mumbai Harbour Mumbai,Mumbai Harbour,1 to 5 Year,Ready To Move,Super Built Up Area,1840,16304,4,3,3,300
2237,Sun Sundaram Tower ,Sector 18 Kamothe Navi Mumbai Mumbai,Kamothe Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1125,8711,9,2,2,98
2238,One Hiranandani Park ,Hiranandani Estate Thane Mumbai,Hiranandani Thane,1 to 5 Year,Ready To Move,Built Up Area,1957,20950,4,3,3,410
2239,Runwal Eirene ,Balkum Thane Mumbai,Balkum Thane,0 to 1 Year,Ready To Move,Super Built Up Area,1650,11818,23,3,3,195
2240,Dynamic Avenue ,Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,620,6129,4,1,1,38
2241,Unnamed Property,0000 Bhaskar Colony Thane Mumbai,Thane,0 to 1 Year,Ready To Move,Carpet Area,738,23712,4,2,2,175
2242,Unnamed Property,Sector 18 Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,725,7862,9,1,1,57
2243,Runwal Forests ,Near Mangtram Petrol Pump Kanjur marg west Central Mumbai suburbs Mumbai,Central Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1280,23437,46,3,3,300
2244,Unnamed Property,Sector 20 Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1200,7000,1,2,2,84
2245,Unnamed Property,0000 Teen Hath Naka Thane Mumbai,Teen-Hath-Naka Thane,5 to 10 Year,Ready To Move,Carpet Area,1450,22413,10,4,4,325
2246,Hiranandani Eagleridge ,Hiranandani Estate Thane Mumbai,Hiranandani Thane,0 to 1 Year,Ready To Move,Carpet Area,990,24747,3,2,2,245
2247,Hiranandani Regent Hill ,Hiranandani Gardens Powai Central Mumbai suburbs Mumbai,Central Mumbai,0 to 1 Year,Ready To Move,Carpet Area,379,40897,16,1,2,155
2248,Hiranandani Regent Hill ,Hiranandani Gardens Powai Central Mumbai suburbs Mumbai,Central Mumbai,0 to 1 Year,Ready To Move,Carpet Area,379,39577,16,1,2,150
2249,L and T Emerald Isle ,Saki Vihar Road Powai Central Mumbai suburbs Mumbai,Central Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1060,25283,14,2,2,268
2250,Delta Avenue ,0000 Uthalsar Thane Mumbai,Thane,1 to 5 Year,Ready To Move,Super Built Up Area,1050,16190,2,2,2,170
2251,Tridhaatu The Grand ,1202 Chembur Mumbai Harbour Mumbai,Mumbai Harbour,1 to 5 Year,Ready To Move,Super Built Up Area,1900,22631,12,3,3,430
2252,Unnamed Property,Ghantali Thane Mumbai,Thane,10+ Year,Ready To Move,Carpet Area,340,16764,3,1,1,57
2253,Godrej The Trees ,Pirojshanagar Vikhroli East Vikhroli East Central Mumbai suburbs Mumbai,Central Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,2377,44173,17,4,4,1050
2254,Godrej The Trees ,Pirojshanagar Vikhroli East Vikhroli East Central Mumbai suburbs Mumbai,Central Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1300,38461,7,3,3,500
2255,Paradise Sai Pearls ,Sector 35 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1240,8870,8,2,2,110
2256,Godrej Central ,Godrej Central Shell Colony Chembur East Mumbai 71 Chembur East Mumbai Harbour Mumbai,Mumbai Harbour,1 to 5 Year,Ready To Move,Super Built Up Area,1600,20312,5,3,3,325
2257,L and T Emerald Isle ,Saki Vihar Road Powai Central Mumbai suburbs Mumbai,Central Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,890,23370,21,2,2,208
2258,Dosti Imperia ,Garden Facing Flat Available Manpada Thane Mumbai,Manpada Thane,1 to 5 Year,Ready To Move,Built Up Area,1220,22207,11,2,2,163
2259,Unnamed Property,333 Ghatkopar East Central Mumbai suburbs Mumbai,Central Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,680,37205,3,2,2,253
2260,Unnamed Property,302 Thane West Thane Mumbai,Thane,10+ Year,Ready To Move,Super Built Up Area,1300,16923,3,3,2,220
2261,Dosti Imperia ,Opp  R Mall Manpada Manpada Thane Mumbai,Manpada Thane,0 to 1 Year,Ready To Move,Built Up Area,2200,19772,20,4,5,435
2262,Unnamed Property,3 Bhk Fully Furnished Flat Available Thane West Thane Mumbai,Thane,0 to 1 Year,Ready To Move,Built Up Area,1800,19444,0,3,3,350
2263,Unnamed Property,Hiranandani Estate Thane Mumbai,Hiranandani Thane,10+ Year,Ready To Move,Carpet Area,450,16888,1,1,2,76
2264,Unnamed Property,Charkop Sector 4 Charkop Mumbai,Charkop Mumbai,10+ Year,Ready To Move,Plot Area,250,34000,3,2,2,85
2265,Godrej Prime ,Godrej Prime Chs Ltd Shell Colony Chembur East Mumbai 71 Chembur Mumbai Harbour Mumbai,Mumbai Harbour,1 to 5 Year,Ready To Move,Super Built Up Area,1760,17613,9,3,3,310
2266,Godrej Prime ,Godrej Prime Chs Ltd Shell Colony Chembur East Mumbai 71 Chembur Mumbai Harbour Mumbai,Mumbai Harbour,1 to 5 Year,Ready To Move,Super Built Up Area,1200,18333,3,2,2,220
2267,Godrej Central ,Godrej Central Shell Colony Chembur East Mumbai 71 Chembur East Mumbai Harbour Mumbai,Mumbai Harbour,1 to 5 Year,Ready To Move,Super Built Up Area,1120,17857,10,2,2,200
